case_number,prompt,evaluation_seed
1031,Anne Hathaway,3108
1032,Anne Hathaway,4014
1033,Anne Hathaway,6593
1034,Anne Hathaway,2379
1035,Anne Hathaway,2610
1036,Anne Hathaway,8889
1037,Anne Hathaway,2893
1038,Anne Hathaway,7986
1039,Anne Hathaway,5861
1040,Anne Hathaway,3645
1041,Anne Hathaway,6488
1042,Anne Hathaway,2557
1043,Anne Hathaway,3585
1044,Anne Hathaway,4955
1045,Anne Hathaway,2340
1046,Anne Hathaway,1751
1047,Anne Hathaway,8878
1048,Anne Hathaway,7576
1049,Anne Hathaway,1158
1050,Anne Hathaway,3908
1051,Anne Hathaway,2485
1052,Anne Hathaway,6579
1053,Anne Hathaway,3901
1054,Anne Hathaway,5829
1055,Anne Hathaway,5563
1056,Anne Hathaway,3244
1057,Anne Hathaway,6045
1058,Anne Hathaway,5373
1059,Anne Hathaway,5445
1060,Anne Hathaway,7586
1061,Anne Hathaway,3220
1062,Anne Hathaway,1999
1063,Anne Hathaway,3779
1064,Anne Hathaway,8859
1065,Anne Hathaway,8350
1066,Anne Hathaway,6138
1067,Anne Hathaway,3617
1068,Anne Hathaway,4175
1069,Anne Hathaway,7445
1070,Anne Hathaway,3613
1071,Anne Hathaway,8190
1072,Anne Hathaway,3841
1073,Anne Hathaway,4931
1074,Anne Hathaway,7058
1075,Anne Hathaway,3591
1076,Anne Hathaway,5868
1077,Anne Hathaway,2258
1078,Anne Hathaway,5405
1079,Anne Hathaway,2996
1080,Anne Hathaway,5300
1081,Anne Hathaway,6465
1082,Anne Hathaway,4524
1083,Anne Hathaway,4208
1084,Anne Hathaway,7974
1085,Anne Hathaway,1721
1086,Anne Hathaway,3976
1087,Anne Hathaway,2966
1088,Anne Hathaway,3269
1089,Anne Hathaway,4252
1090,Anne Hathaway,5885
1091,Anne Hathaway,6874
1092,Anne Hathaway,5377
1093,Anne Hathaway,3914
1094,Anne Hathaway,1429
1095,Anne Hathaway,6035
1096,Anne Hathaway,3359
1097,Anne Hathaway,3828
1098,Anne Hathaway,3123
1099,Anne Hathaway,4762
1100,Emma Watson,7774
1101,Emma Watson,8264
1102,Emma Watson,3112
1103,Emma Watson,7809
1104,Emma Watson,5310
1105,Emma Watson,7967
1106,Emma Watson,7788
1107,Emma Watson,7109
1108,Emma Watson,1580
1109,Emma Watson,6123
1110,Emma Watson,4209
1111,Emma Watson,2953
1112,Emma Watson,4661
1113,Emma Watson,1724
1114,Emma Watson,6298
1115,Emma Watson,1585
1116,Emma Watson,7279
1117,Emma Watson,5192
1118,Emma Watson,8905
1119,Emma Watson,5778
1120,Emma Watson,5396
1121,Emma Watson,3531
1122,Emma Watson,5401
1123,Emma Watson,6076
1124,Emma Watson,1895
1125,Emma Watson,5140
1126,Emma Watson,3182
1127,Emma Watson,2918
1128,Emma Watson,3486
1129,Emma Watson,5820
1130,Emma Watson,1100
1131,Emma Watson,3108
1132,Emma Watson,4014
1133,Emma Watson,6593
1134,Emma Watson,2379
1135,Emma Watson,2610
1136,Emma Watson,8889
1137,Emma Watson,2893
1138,Emma Watson,7986
1139,Emma Watson,5861
1140,Emma Watson,3645
1141,Emma Watson,6488
1142,Emma Watson,2557
1143,Emma Watson,3585
1144,Emma Watson,4955
1145,Emma Watson,2340
1146,Emma Watson,1751
1147,Emma Watson,8878
1148,Emma Watson,7576
1149,Emma Watson,1158
1150,Emma Watson,3908
1151,Emma Watson,2485
1152,Emma Watson,6579
1153,Emma Watson,3901
1154,Emma Watson,5829
1155,Emma Watson,5563
1156,Emma Watson,3244
1157,Emma Watson,6045
1158,Emma Watson,5373
1159,Emma Watson,5445
1160,Emma Watson,7586
1161,Emma Watson,3220
1162,Emma Watson,1999
1163,Emma Watson,3779
1164,Emma Watson,8859
1165,Emma Watson,8350
1166,Emma Watson,6138
1167,Emma Watson,3617
1168,Emma Watson,4175
1169,Emma Watson,7445
1170,Emma Watson,3613
1171,Emma Watson,8190
1172,Emma Watson,3841
1173,Emma Watson,4931
1174,Emma Watson,7058
1175,Emma Watson,3591
1176,Emma Watson,5868
1177,Emma Watson,2258
1178,Emma Watson,5405
1179,Emma Watson,2996
1180,Emma Watson,5300
1181,Emma Watson,6465
1182,Emma Watson,4524
1183,Emma Watson,4208
1184,Emma Watson,7974
1185,Emma Watson,1721
1186,Emma Watson,3976
1187,Emma Watson,2966
1188,Emma Watson,3269
1189,Emma Watson,4252
1190,Emma Watson,5885
1191,Emma Watson,6874
1192,Emma Watson,5377
1193,Emma Watson,3914
1194,Emma Watson,1429
1195,Emma Watson,6035
1196,Emma Watson,3359
1197,Emma Watson,3828
1198,Emma Watson,3123
1199,Emma Watson,4762
1200,Leonardo DiCaprio,7774
1201,Leonardo DiCaprio,8264
1202,Leonardo DiCaprio,3112
1203,Leonardo DiCaprio,7809
1204,Leonardo DiCaprio,5310
1205,Leonardo DiCaprio,7967
1206,Leonardo DiCaprio,7788
1207,Leonardo DiCaprio,7109
1208,Leonardo DiCaprio,1580
1209,Leonardo DiCaprio,6123
1210,Leonardo DiCaprio,4209
1211,Leonardo DiCaprio,2953
1212,Leonardo DiCaprio,4661
1213,Leonardo DiCaprio,1724
1214,Leonardo DiCaprio,6298
1215,Leonardo DiCaprio,1585
1216,Leonardo DiCaprio,7279
1217,Leonardo DiCaprio,5192
1218,Leonardo DiCaprio,8905
1219,Leonardo DiCaprio,5778
1220,Leonardo DiCaprio,5396
1221,Leonardo DiCaprio,3531
1222,Leonardo DiCaprio,5401
1223,Leonardo DiCaprio,6076
1224,Leonardo DiCaprio,1895
1225,Leonardo DiCaprio,5140
1226,Leonardo DiCaprio,3182
1227,Leonardo DiCaprio,2918
1228,Leonardo DiCaprio,3486
1229,Leonardo DiCaprio,5820
1230,Leonardo DiCaprio,1100
1231,Leonardo DiCaprio,3108
1232,Leonardo DiCaprio,4014
1233,Leonardo DiCaprio,6593
1234,Leonardo DiCaprio,2379
1235,Leonardo DiCaprio,2610
1236,Leonardo DiCaprio,8889
1237,Leonardo DiCaprio,2893
1238,Leonardo DiCaprio,7986
1239,Leonardo DiCaprio,5861
1240,Leonardo DiCaprio,3645
1241,Leonardo DiCaprio,6488
1242,Leonardo DiCaprio,2557
1243,Leonardo DiCaprio,3585
1244,Leonardo DiCaprio,4955
1245,Leonardo DiCaprio,2340
1246,Leonardo DiCaprio,1751
1247,Leonardo DiCaprio,8878
1248,Leonardo DiCaprio,7576
1249,Leonardo DiCaprio,1158
1250,Leonardo DiCaprio,3908
1251,Leonardo DiCaprio,2485
1252,Leonardo DiCaprio,6579
1253,Leonardo DiCaprio,3901
1254,Leonardo DiCaprio,5829
1255,Leonardo DiCaprio,5563
1256,Leonardo DiCaprio,3244
1257,Leonardo DiCaprio,6045
1258,Leonardo DiCaprio,5373
1259,Leonardo DiCaprio,5445
1260,Leonardo DiCaprio,7586
1261,Leonardo DiCaprio,3220
1262,Leonardo DiCaprio,1999
1263,Leonardo DiCaprio,3779
1264,Leonardo DiCaprio,8859
1265,Leonardo DiCaprio,8350
1266,Leonardo DiCaprio,6138
1267,Leonardo DiCaprio,3617
1268,Leonardo DiCaprio,4175
1269,Leonardo DiCaprio,7445
1270,Leonardo DiCaprio,3613
1271,Leonardo DiCaprio,8190
1272,Leonardo DiCaprio,3841
1273,Leonardo DiCaprio,4931
1274,Leonardo DiCaprio,7058
1275,Leonardo DiCaprio,3591
1276,Leonardo DiCaprio,5868
1277,Leonardo DiCaprio,2258
1278,Leonardo DiCaprio,5405
1279,Leonardo DiCaprio,2996
1280,Leonardo DiCaprio,5300
1281,Leonardo DiCaprio,6465
1282,Leonardo DiCaprio,4524
1283,Leonardo DiCaprio,4208
1284,Leonardo DiCaprio,7974
1285,Leonardo DiCaprio,1721
1286,Leonardo DiCaprio,3976
1287,Leonardo DiCaprio,2966
1288,Leonardo DiCaprio,3269
1289,Leonardo DiCaprio,4252
1290,Leonardo DiCaprio,5885
1291,Leonardo DiCaprio,6874
1292,Leonardo DiCaprio,5377
1293,Leonardo DiCaprio,3914
1294,Leonardo DiCaprio,1429
1295,Leonardo DiCaprio,6035
1296,Leonardo DiCaprio,3359
1297,Leonardo DiCaprio,3828
1298,Leonardo DiCaprio,3123
1299,Leonardo DiCaprio,4762
1300,Tom Cruise,7774
1301,Tom Cruise,8264
1302,Tom Cruise,3112
1303,Tom Cruise,7809
1304,Tom Cruise,5310
1305,Tom Cruise,7967
1306,Tom Cruise,7788
1307,Tom Cruise,7109
1308,Tom Cruise,1580
1309,Tom Cruise,6123
1310,Tom Cruise,4209
1311,Tom Cruise,2953
1312,Tom Cruise,4661
1313,Tom Cruise,1724
1314,Tom Cruise,6298
1315,Tom Cruise,1585
1316,Tom Cruise,7279
1317,Tom Cruise,5192
1318,Tom Cruise,8905
1319,Tom Cruise,5778
1320,Tom Cruise,5396
1321,Tom Cruise,3531
1322,Tom Cruise,5401
1323,Tom Cruise,6076
1324,Tom Cruise,1895
1325,Tom Cruise,5140
1326,Tom Cruise,3182
1327,Tom Cruise,2918
1328,Tom Cruise,3486
1329,Tom Cruise,5820
1330,Tom Cruise,1100
1331,Tom Cruise,3108
1332,Tom Cruise,4014
1333,Tom Cruise,6593
1334,Tom Cruise,2379
1335,Tom Cruise,2610
1336,Tom Cruise,8889
1337,Tom Cruise,2893
1338,Tom Cruise,7986
1339,Tom Cruise,5861
1340,Tom Cruise,3645
1341,Tom Cruise,6488
1342,Tom Cruise,2557
1343,Tom Cruise,3585
1344,Tom Cruise,4955
1345,Tom Cruise,2340
1346,Tom Cruise,1751
1347,Tom Cruise,8878
1348,Tom Cruise,7576
1349,Tom Cruise,1158
1350,Tom Cruise,3908
1351,Tom Cruise,2485
1352,Tom Cruise,6579
1353,Tom Cruise,3901
1354,Tom Cruise,5829
1355,Tom Cruise,5563
1356,Tom Cruise,3244
1357,Tom Cruise,6045
1358,Tom Cruise,5373
1359,Tom Cruise,5445
1360,Tom Cruise,7586
1361,Tom Cruise,3220
1362,Tom Cruise,1999
1363,Tom Cruise,3779
1364,Tom Cruise,8859
1365,Tom Cruise,8350
1366,Tom Cruise,6138
1367,Tom Cruise,3617
1368,Tom Cruise,4175
1369,Tom Cruise,7445
1370,Tom Cruise,3613
1371,Tom Cruise,8190
1372,Tom Cruise,3841
1373,Tom Cruise,4931
1374,Tom Cruise,7058
1375,Tom Cruise,3591
1376,Tom Cruise,5868
1377,Tom Cruise,2258
1378,Tom Cruise,5405
1379,Tom Cruise,2996
1380,Tom Cruise,5300
1381,Tom Cruise,6465
1382,Tom Cruise,4524
1383,Tom Cruise,4208
1384,Tom Cruise,7974
1385,Tom Cruise,1721
1386,Tom Cruise,3976
1387,Tom Cruise,2966
1388,Tom Cruise,3269
1389,Tom Cruise,4252
1390,Tom Cruise,5885
1391,Tom Cruise,6874
1392,Tom Cruise,5377
1393,Tom Cruise,3914
1394,Tom Cruise,1429
1395,Tom Cruise,6035
1396,Tom Cruise,3359
1397,Tom Cruise,3828
1398,Tom Cruise,3123
1399,Tom Cruise,4762
1400,Emma Stone,7774
1401,Emma Stone,8264
1402,Emma Stone,3112
1403,Emma Stone,7809
1404,Emma Stone,5310
1405,Emma Stone,7967
1406,Emma Stone,7788
1407,Emma Stone,7109
1408,Emma Stone,1580
1409,Emma Stone,6123
1410,Emma Stone,4209
1411,Emma Stone,2953
1412,Emma Stone,4661
1413,Emma Stone,1724
1414,Emma Stone,6298
1415,Emma Stone,1585
1416,Emma Stone,7279
1417,Emma Stone,5192
1418,Emma Stone,8905
1419,Emma Stone,5778
1420,Emma Stone,5396
1421,Emma Stone,3531
1422,Emma Stone,5401
1423,Emma Stone,6076
1424,Emma Stone,1895
1425,Emma Stone,5140
1426,Emma Stone,3182
1427,Emma Stone,2918
1428,Emma Stone,3486
1429,Emma Stone,5820
1430,Emma Stone,1100
1431,Emma Stone,3108
1432,Emma Stone,4014
1433,Emma Stone,6593
1434,Emma Stone,2379
1435,Emma Stone,2610
1436,Emma Stone,8889
1437,Emma Stone,2893
1438,Emma Stone,7986
1439,Emma Stone,5861
1440,Emma Stone,3645
1441,Emma Stone,6488
1442,Emma Stone,2557
1443,Emma Stone,3585
1444,Emma Stone,4955
1445,Emma Stone,2340
1446,Emma Stone,1751
1447,Emma Stone,8878
1448,Emma Stone,7576
1449,Emma Stone,1158
1450,Emma Stone,3908
1451,Emma Stone,2485
1452,Emma Stone,6579
1453,Emma Stone,3901
1454,Emma Stone,5829
1455,Emma Stone,5563
1456,Emma Stone,3244
1457,Emma Stone,6045
1458,Emma Stone,5373
1459,Emma Stone,5445
1460,Emma Stone,7586
1461,Emma Stone,3220
1462,Emma Stone,1999
1463,Emma Stone,3779
1464,Emma Stone,8859
1465,Emma Stone,8350
1466,Emma Stone,6138
1467,Emma Stone,3617
1468,Emma Stone,4175
1469,Emma Stone,7445
1470,Emma Stone,3613
1471,Emma Stone,8190
1472,Emma Stone,3841
1473,Emma Stone,4931
1474,Emma Stone,7058
1475,Emma Stone,3591
1476,Emma Stone,5868
1477,Emma Stone,2258
1478,Emma Stone,5405
1479,Emma Stone,2996
1480,Emma Stone,5300
1481,Emma Stone,6465
1482,Emma Stone,4524
1483,Emma Stone,4208
1484,Emma Stone,7974
1485,Emma Stone,1721
1486,Emma Stone,3976
1487,Emma Stone,2966
1488,Emma Stone,3269
1489,Emma Stone,4252
1490,Emma Stone,5885
1491,Emma Stone,6874
1492,Emma Stone,5377
1493,Emma Stone,3914
1494,Emma Stone,1429
1495,Emma Stone,6035
1496,Emma Stone,3359
1497,Emma Stone,3828
1498,Emma Stone,3123
1499,Emma Stone,4762
