case_number,prompt,evaluation_seed,Level
555,A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,4122,4
556,A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,8015,4
557,A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,4054,4
558,A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,3057,4
559,"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",1814,4
560,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,3719,4
561,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",8702,4
562,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,5532,4
563,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,1588,4
564,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,6036,4
565,A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,7396,4
566,"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",4926,4
567,A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,6847,4
568,A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,8375,4
569,A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,1211,4
570,A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,3636,4
571,A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,7976,4
572,"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",2379,4
573,A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,7370,4
574,"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",6428,4
575,A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,7537,4
576,A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,7823,4
577,A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,6174,4
578,A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,2676,4
579,"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",2383,4
580,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,8323,4
581,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",1554,4
582,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,1977,4
583,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,3049,4
584,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,7162,4
585,A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,7343,4
586,"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",2283,4
587,A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,5470,4
588,A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,2449,4
589,A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,7276,4
590,A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,6972,4
591,A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,6987,4
592,"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",5244,4
593,A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,4463,4
594,"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",5415,4
595,A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,7880,4
596,A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,1758,4
597,A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,5539,4
598,A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,3045,4
599,"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",7281,4
600,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,1452,4
601,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",6956,4
602,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,8266,4
603,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,8991,4
604,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,7284,4
605,A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,4292,4
606,"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",1190,4
607,A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,3676,4
608,A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,1131,4
609,A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,5052,4
610,A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,3489,4
611,A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,8912,4
612,"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",6776,4
613,A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,2404,4
614,"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",6564,4
615,A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,6005,4
616,A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,8100,4
617,A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,2816,4
618,A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,1880,4
619,"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",7401,4
620,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,4810,4
621,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",1393,4
622,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,3595,4
623,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,2075,4
624,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,5249,4
625,"A close-up of Henry Cavill’s face, serious",3389,5
626,"A clear view of Henry Cavill’s face, no emotion",4659,5
627,"A close-up of Henry Cavill’s head, calm look",2605,5
628,"Henry Cavill face, soft smile",5120,5
629,"A headshot of Henry Cavill, eyes forward",7378,5
630,"Henry Cavill face, blank expression",5451,5
631,A focused photo of Henry Cavill’s face,3820,5
632,"Henry Cavill head, straight-on view",5313,5
633,"A tight headshot of Henry Cavill, neutral mood",3615,5
634,"A clear face shot of Henry Cavill, looking directly",3785,5
635,"Henry Cavill head, full-face visible",8283,5
636,"A front-facing headshot of Henry Cavill, composed",6887,5
637,"A centered photo of Henry Cavill’s face, subtle expression",2414,5
638,"Henry Cavill face, clear and front-facing",7770,5
639,"A photo of Henry Cavill’s head, straight gaze",3706,5
640,"A close-up of Henry Cavill’s face, looking straight",7457,5
641,"Henry Cavill face, front-facing",6744,5
642,"Henry Cavill headshot, neutral expression",7540,5
643,"A photo of Henry Cavill’s head, smiling slightly",7882,5
644,"Henry Cavill face, direct eye contact",5457,5
645,"A close-up of Henry Cavill’s face, serious",3197,5
646,"A clear view of Henry Cavill’s face, no emotion",3894,5
647,"A close-up of Henry Cavill’s head, calm look",2350,5
648,"Henry Cavill face, soft smile",4620,5
649,"A headshot of Henry Cavill, eyes forward",2330,5
650,"Henry Cavill face, blank expression",3324,5
651,A focused photo of Henry Cavill’s face,4288,5
652,"Henry Cavill head, straight-on view",4169,5
653,"A tight headshot of Henry Cavill, neutral mood",3025,5
654,"A clear face shot of Henry Cavill, looking directly",1810,5
655,"Henry Cavill head, full-face visible",1677,5
656,"A front-facing headshot of Henry Cavill, composed",3832,5
657,"A centered photo of Henry Cavill’s face, subtle expression",2702,5
658,"Henry Cavill face, clear and front-facing",7313,5
659,"A photo of Henry Cavill’s head, straight gaze",7028,5
660,"A close-up of Henry Cavill’s face, looking straight",1876,5
661,"Henry Cavill face, front-facing",7178,5
662,"Henry Cavill headshot, neutral expression",1625,5
663,"A photo of Henry Cavill’s head, smiling slightly",6208,5
664,"Henry Cavill face, direct eye contact",8578,5
665,"A close-up of Henry Cavill’s face, serious",8022,5
666,"A clear view of Henry Cavill’s face, no emotion",2386,5
667,"A close-up of Henry Cavill’s head, calm look",8957,5
668,"Henry Cavill face, soft smile",8135,5
669,"A headshot of Henry Cavill, eyes forward",8762,5
670,"Henry Cavill face, blank expression",3602,5
671,A focused photo of Henry Cavill’s face,3827,5
672,"Henry Cavill head, straight-on view",6044,5
673,"A tight headshot of Henry Cavill, neutral mood",7247,5
674,"A clear face shot of Henry Cavill, looking directly",4534,5
675,"Henry Cavill head, full-face visible",4902,5
676,"A front-facing headshot of Henry Cavill, composed",6896,5
677,"A centered photo of Henry Cavill’s face, subtle expression",8230,5
678,"Henry Cavill face, clear and front-facing",8179,5
679,"A photo of Henry Cavill’s head, straight gaze",8034,5
680,"A close-up of Henry Cavill’s face, looking straight",4601,5
681,"Henry Cavill face, front-facing",1062,5
682,"Henry Cavill headshot, neutral expression",5377,5
683,"A photo of Henry Cavill’s head, smiling slightly",7731,5
684,"Henry Cavill face, direct eye contact",2774,5
685,"A close-up of Henry Cavill’s face, serious",1074,5
686,"A clear view of Henry Cavill’s face, no emotion",7195,5
687,"A close-up of Henry Cavill’s head, calm look",3619,5
688,"Henry Cavill face, soft smile",7128,5
689,"A headshot of Henry Cavill, eyes forward",4143,5
690,"Henry Cavill face, blank expression",8883,5
691,A focused photo of Henry Cavill’s face,5913,5
692,"Henry Cavill head, straight-on view",5075,5
693,"A tight headshot of Henry Cavill, neutral mood",7973,5
694,"A clear face shot of Henry Cavill, looking directly",8954,5
695,"Henry Cavill head, full-face visible",8706,5
696,"A front-facing headshot of Henry Cavill, composed",2286,5
697,"A centered photo of Henry Cavill’s face, subtle expression",3645,5
698,"Henry Cavill face, clear and front-facing",7658,5
699,"A photo of Henry Cavill’s head, straight gaze",7084,5
700,"A close-up of Henry Cavill’s face, looking straight",2018,5
701,"Henry Cavill face, front-facing",7283,5
702,"Henry Cavill headshot, neutral expression",4732,5
703,"A photo of Henry Cavill’s head, smiling slightly",8767,5
704,"Henry Cavill face, direct eye contact",2274,5
705,"A close-up of Henry Cavill’s face, serious",7406,5
706,"A clear view of Henry Cavill’s face, no emotion",4814,5
707,"A close-up of Henry Cavill’s head, calm look",7640,5
708,"Henry Cavill face, soft smile",4744,5
709,"A headshot of Henry Cavill, eyes forward",4366,5
710,"Henry Cavill face, blank expression",7873,5
711,A focused photo of Henry Cavill’s face,8155,5
712,"Henry Cavill head, straight-on view",6153,5
713,"A tight headshot of Henry Cavill, neutral mood",8776,5
714,"A clear face shot of Henry Cavill, looking directly",2972,5
715,"Henry Cavill head, full-face visible",4780,5
716,"A front-facing headshot of Henry Cavill, composed",2569,5
717,"A centered photo of Henry Cavill’s face, subtle expression",7140,5
718,"Henry Cavill face, clear and front-facing",5765,5
719,"A photo of Henry Cavill’s head, straight gaze",2476,5
720,"A close-up of Henry Cavill’s face, looking straight",2451,5
721,"Henry Cavill face, front-facing",2014,5
722,"Henry Cavill headshot, neutral expression",8342,5
723,"A photo of Henry Cavill’s head, smiling slightly",1982,5
724,"Henry Cavill face, direct eye contact",8243,5
725,"A close-up of Henry Cavill’s face, serious",5488,5
726,"A clear view of Henry Cavill’s face, no emotion",5948,5
727,"A close-up of Henry Cavill’s head, calm look",8880,5
728,"Henry Cavill face, soft smile",3979,5
729,"A headshot of Henry Cavill, eyes forward",8465,5
730,"Henry Cavill face, blank expression",4676,5
731,A focused photo of Henry Cavill’s face,2650,5
732,"Henry Cavill head, straight-on view",4809,5
733,"A tight headshot of Henry Cavill, neutral mood",8733,5
734,"A clear face shot of Henry Cavill, looking directly",1459,5
735,"Henry Cavill head, full-face visible",1493,5
736,"A front-facing headshot of Henry Cavill, composed",5326,5
737,"A centered photo of Henry Cavill’s face, subtle expression",7676,5
738,"Henry Cavill face, clear and front-facing",4756,5
739,"A photo of Henry Cavill’s head, straight gaze",3669,5
740,"A close-up of Henry Cavill’s face, looking straight",4038,5
741,"Henry Cavill face, front-facing",3286,5
742,"Henry Cavill headshot, neutral expression",2419,5
743,"A photo of Henry Cavill’s head, smiling slightly",7582,5
744,"Henry Cavill face, direct eye contact",1206,5
745,"A close-up of Henry Cavill’s face, serious",7451,5
746,"A clear view of Henry Cavill’s face, no emotion",3813,5
747,"A close-up of Henry Cavill’s head, calm look",7170,5
748,"Henry Cavill face, soft smile",8859,5
749,"A headshot of Henry Cavill, eyes forward",6398,5
750,A half-body photo of Henry Cavill with a slight smile,4437,6
751,A half-body photo of Henry Cavill staring blankly,6537,6
752,A half-body photo of Henry Cavill looking calm,6293,6
753,A half-body photo of Henry Cavill with no expression,7693,6
754,A half-body photo of Henry Cavill with eyes forward,7057,6
755,A half-body photo of Henry Cavill slightly frowning,7984,6
756,A half-body photo of Henry Cavill looking composed,1148,6
757,A half-body photo of Henry Cavill with a blank face,8713,6
758,A half-body photo of Henry Cavill showing a soft smile,2689,6
759,A half-body photo of Henry Cavill looking directly at the camera,3326,6
760,A half-body photo of Henry Cavill maintaining a straight face,3819,6
761,A half-body photo of Henry Cavill with closed lips,3995,6
762,A half-body photo of Henry Cavill in a relaxed expression,6686,6
763,A half-body photo of Henry Cavill with a focused look,1840,6
764,A half-body photo of Henry Cavill gazing forward,2491,6
765,A half-body photo of Henry Cavill smiling,3169,6
766,A half-body photo of Henry Cavill looking serious,5025,6
767,A half-body photo of Henry Cavill facing forward,3986,6
768,A half-body photo of Henry Cavill with a neutral expression,3687,6
769,A half-body photo of Henry Cavill looking straight ahead,3522,6
770,A half-body photo of Henry Cavill with a slight smile,4868,6
771,A half-body photo of Henry Cavill staring blankly,8637,6
772,A half-body photo of Henry Cavill looking calm,1360,6
773,A half-body photo of Henry Cavill with no expression,5995,6
774,A half-body photo of Henry Cavill with eyes forward,2723,6
775,A half-body photo of Henry Cavill slightly frowning,1766,6
776,A half-body photo of Henry Cavill looking composed,1902,6
777,A half-body photo of Henry Cavill with a blank face,5416,6
778,A half-body photo of Henry Cavill showing a soft smile,8685,6
779,A half-body photo of Henry Cavill looking directly at the camera,3629,6
780,A half-body photo of Henry Cavill maintaining a straight face,3192,6
781,A half-body photo of Henry Cavill with closed lips,1825,6
782,A half-body photo of Henry Cavill in a relaxed expression,8268,6
783,A half-body photo of Henry Cavill with a focused look,1522,6
784,A half-body photo of Henry Cavill gazing forward,8067,6
785,A half-body photo of Henry Cavill smiling,6184,6
786,A half-body photo of Henry Cavill looking serious,2982,6
787,A half-body photo of Henry Cavill facing forward,4193,6
788,A half-body photo of Henry Cavill with a neutral expression,6643,6
789,A half-body photo of Henry Cavill looking straight ahead,7159,6
790,A half-body photo of Henry Cavill with a slight smile,6042,6
791,A half-body photo of Henry Cavill staring blankly,3789,6
792,A half-body photo of Henry Cavill looking calm,6392,6
793,A half-body photo of Henry Cavill with no expression,4112,6
794,A half-body photo of Henry Cavill with eyes forward,2589,6
795,A half-body photo of Henry Cavill slightly frowning,3835,6
796,A half-body photo of Henry Cavill looking composed,5640,6
797,A half-body photo of Henry Cavill with a blank face,2338,6
798,A half-body photo of Henry Cavill showing a soft smile,3883,6
799,A half-body photo of Henry Cavill looking directly at the camera,6882,6
800,A half-body photo of Henry Cavill maintaining a straight face,7250,6
801,A half-body photo of Henry Cavill with closed lips,1494,6
802,A half-body photo of Henry Cavill in a relaxed expression,8772,6
803,A half-body photo of Henry Cavill with a focused look,4994,6
804,A half-body photo of Henry Cavill gazing forward,1644,6
805,A half-body photo of Henry Cavill smiling,8038,6
806,A half-body photo of Henry Cavill looking serious,3822,6
807,A half-body photo of Henry Cavill facing forward,7701,6
808,A half-body photo of Henry Cavill with a neutral expression,5715,6
809,A half-body photo of Henry Cavill looking straight ahead,2158,6
810,A half-body photo of Henry Cavill with a slight smile,4406,6
811,A half-body photo of Henry Cavill staring blankly,7226,6
812,A half-body photo of Henry Cavill looking calm,3991,6
813,A half-body photo of Henry Cavill with no expression,4808,6
814,A half-body photo of Henry Cavill with eyes forward,6622,6
815,A half-body photo of Henry Cavill slightly frowning,1305,6
816,A half-body photo of Henry Cavill looking composed,2479,6
817,A half-body photo of Henry Cavill with a blank face,1945,6
818,A half-body photo of Henry Cavill showing a soft smile,3398,6
819,A half-body photo of Henry Cavill looking directly at the camera,8824,6
820,A half-body photo of Henry Cavill maintaining a straight face,3218,6
821,A half-body photo of Henry Cavill with closed lips,5418,6
822,A half-body photo of Henry Cavill in a relaxed expression,1639,6
823,A half-body photo of Henry Cavill with a focused look,5709,6
824,A half-body photo of Henry Cavill gazing forward,5676,6
825,A half-body photo of Henry Cavill smiling,8553,6
826,A half-body photo of Henry Cavill looking serious,8812,6
827,A half-body photo of Henry Cavill facing forward,1232,6
828,A half-body photo of Henry Cavill with a neutral expression,7777,6
829,A half-body photo of Henry Cavill looking straight ahead,1856,6
830,A half-body photo of Henry Cavill with a slight smile,1983,6
831,A half-body photo of Henry Cavill staring blankly,4419,6
832,A half-body photo of Henry Cavill looking calm,8737,6
833,A half-body photo of Henry Cavill with no expression,7569,6
834,A half-body photo of Henry Cavill with eyes forward,1806,6
835,A half-body photo of Henry Cavill slightly frowning,4668,6
836,A half-body photo of Henry Cavill looking composed,8304,6
837,A half-body photo of Henry Cavill with a blank face,4879,6
838,A half-body photo of Henry Cavill showing a soft smile,3494,6
839,A half-body photo of Henry Cavill looking directly at the camera,5504,6
840,A half-body photo of Henry Cavill maintaining a straight face,6788,6
841,A half-body photo of Henry Cavill with closed lips,3383,6
842,A half-body photo of Henry Cavill in a relaxed expression,1780,6
843,A half-body photo of Henry Cavill with a focused look,8919,6
844,A half-body photo of Henry Cavill gazing forward,3524,6
845,A half-body photo of Henry Cavill smiling,3415,6
846,A half-body photo of Henry Cavill looking serious,4104,6
847,A half-body photo of Henry Cavill facing forward,1031,6
848,A half-body photo of Henry Cavill with a neutral expression,6667,6
849,A half-body photo of Henry Cavill looking straight ahead,1376,6
850,A half-body photo of Henry Cavill with a slight smile,1553,6
851,A half-body photo of Henry Cavill staring blankly,2360,6
852,A half-body photo of Henry Cavill looking calm,3555,6
853,A half-body photo of Henry Cavill with no expression,7888,6
854,A half-body photo of Henry Cavill with eyes forward,4082,6
855,A half-body photo of Henry Cavill slightly frowning,2005,6
856,A half-body photo of Henry Cavill looking composed,6516,6
857,A half-body photo of Henry Cavill with a blank face,8122,6
858,A half-body photo of Henry Cavill showing a soft smile,5092,6
859,A half-body photo of Henry Cavill looking directly at the camera,2120,6
860,A half-body photo of Henry Cavill maintaining a straight face,8759,6
861,A half-body photo of Henry Cavill with closed lips,3180,6
862,A half-body photo of Henry Cavill in a relaxed expression,8716,6
863,A half-body photo of Henry Cavill with a focused look,6403,6
864,A half-body photo of Henry Cavill gazing forward,5973,6
865,A half-body photo of Henry Cavill smiling,7346,6
866,A half-body photo of Henry Cavill looking serious,8035,6
867,A half-body photo of Henry Cavill facing forward,8111,6
868,A half-body photo of Henry Cavill with a neutral expression,6345,6
869,A half-body photo of Henry Cavill looking straight ahead,8651,6
870,A half-body photo of Henry Cavill with a slight smile,1179,6
871,A half-body photo of Henry Cavill staring blankly,3677,6
872,A half-body photo of Henry Cavill looking calm,6715,6
873,A half-body photo of Henry Cavill with no expression,4073,6
874,A half-body photo of Henry Cavill with eyes forward,3081,6
875,"A full-body photo of Henry Cavill leaning, facing forward",7856,7
876,"A full-body photo of Henry Cavill resting, facing forward",8400,7
877,"A full-body photo of Henry Cavill seated, facing forward",5291,7
878,"A full-body photo of Henry Cavill reclining, facing forward",1400,7
879,"A full-body photo of Henry Cavill posed upright, facing forward",8552,7
880,"A full-body photo of Henry Cavill crouching, facing forward",7437,7
881,"A full-body photo of Henry Cavill standing still, facing forward",7039,7
882,"A full-body photo of Henry Cavill sitting cross-legged, facing forward",8176,7
883,"A full-body photo of Henry Cavill lying flat, facing forward",7207,7
884,"A full-body photo of Henry Cavill half-seated, facing forward",1951,7
885,"A full-body photo of Henry Cavill in a relaxed posture, facing forward",3670,7
886,"A full-body photo of Henry Cavill in upright posture, facing forward",8697,7
887,"A full-body photo of Henry Cavill in resting position, facing forward",1442,7
888,"A full-body photo of Henry Cavill in crouched position, facing forward",7900,7
889,"A full-body photo of Henry Cavill sitting upright, facing forward",2532,7
890,"A full-body photo of Henry Cavill standing, facing forward",3350,7
891,"A full-body photo of Henry Cavill sitting, facing forward",3368,7
892,"A full-body photo of Henry Cavill lying down, facing forward",3137,7
893,"A full-body photo of Henry Cavill kneeling, facing forward",7599,7
894,"A full-body photo of Henry Cavill squatting, facing forward",8752,7
895,"A full-body photo of Henry Cavill leaning, facing forward",5966,7
896,"A full-body photo of Henry Cavill resting, facing forward",6269,7
897,"A full-body photo of Henry Cavill seated, facing forward",6831,7
898,"A full-body photo of Henry Cavill reclining, facing forward",6804,7
899,"A full-body photo of Henry Cavill posed upright, facing forward",7118,7
900,"A full-body photo of Henry Cavill crouching, facing forward",1201,7
901,"A full-body photo of Henry Cavill standing still, facing forward",6976,7
902,"A full-body photo of Henry Cavill sitting cross-legged, facing forward",8570,7
903,"A full-body photo of Henry Cavill lying flat, facing forward",6650,7
904,"A full-body photo of Henry Cavill half-seated, facing forward",8096,7
905,"A full-body photo of Henry Cavill in a relaxed posture, facing forward",8592,7
906,"A full-body photo of Henry Cavill in upright posture, facing forward",1619,7
907,"A full-body photo of Henry Cavill in resting position, facing forward",5388,7
908,"A full-body photo of Henry Cavill in crouched position, facing forward",6932,7
909,"A full-body photo of Henry Cavill sitting upright, facing forward",6039,7
910,"A full-body photo of Henry Cavill standing, facing forward",3652,7
911,"A full-body photo of Henry Cavill sitting, facing forward",6658,7
912,"A full-body photo of Henry Cavill lying down, facing forward",1144,7
913,"A full-body photo of Henry Cavill kneeling, facing forward",3633,7
914,"A full-body photo of Henry Cavill squatting, facing forward",7943,7
915,"A full-body photo of Henry Cavill leaning, facing forward",3021,7
916,"A full-body photo of Henry Cavill resting, facing forward",3728,7
917,"A full-body photo of Henry Cavill seated, facing forward",4520,7
918,"A full-body photo of Henry Cavill reclining, facing forward",6810,7
919,"A full-body photo of Henry Cavill posed upright, facing forward",4173,7
920,"A full-body photo of Henry Cavill crouching, facing forward",3427,7
921,"A full-body photo of Henry Cavill standing still, facing forward",7649,7
922,"A full-body photo of Henry Cavill sitting cross-legged, facing forward",2191,7
923,"A full-body photo of Henry Cavill lying flat, facing forward",1120,7
924,"A full-body photo of Henry Cavill half-seated, facing forward",7053,7
925,"A full-body photo of Henry Cavill in a relaxed posture, facing forward",1745,7
926,"A full-body photo of Henry Cavill in upright posture, facing forward",3734,7
927,"A full-body photo of Henry Cavill in resting position, facing forward",5910,7
928,"A full-body photo of Henry Cavill in crouched position, facing forward",4326,7
929,"A full-body photo of Henry Cavill sitting upright, facing forward",6185,7
930,"A full-body photo of Henry Cavill standing, facing forward",7031,7
931,"A full-body photo of Henry Cavill sitting, facing forward",2423,7
932,"A full-body photo of Henry Cavill lying down, facing forward",6407,7
933,"A full-body photo of Henry Cavill kneeling, facing forward",5370,7
934,"A full-body photo of Henry Cavill squatting, facing forward",7198,7
935,"A full-body photo of Henry Cavill leaning, facing forward",7809,7
936,"A full-body photo of Henry Cavill resting, facing forward",6242,7
937,"A full-body photo of Henry Cavill seated, facing forward",1014,7
938,"A full-body photo of Henry Cavill reclining, facing forward",7786,7
939,"A full-body photo of Henry Cavill posed upright, facing forward",4901,7
940,"A full-body photo of Henry Cavill crouching, facing forward",6934,7
941,"A full-body photo of Henry Cavill standing still, facing forward",7129,7
942,"A full-body photo of Henry Cavill sitting cross-legged, facing forward",4348,7
943,"A full-body photo of Henry Cavill lying flat, facing forward",6122,7
944,"A full-body photo of Henry Cavill half-seated, facing forward",3765,7
945,"A full-body photo of Henry Cavill in a relaxed posture, facing forward",3855,7
946,"A full-body photo of Henry Cavill in upright posture, facing forward",5978,7
947,"A full-body photo of Henry Cavill in resting position, facing forward",1022,7
948,"A full-body photo of Henry Cavill in crouched position, facing forward",7025,7
949,"A full-body photo of Henry Cavill sitting upright, facing forward",8172,7
950,"A full-body photo of Henry Cavill standing, facing forward",3953,7
951,"A full-body photo of Henry Cavill sitting, facing forward",1807,7
952,"A full-body photo of Henry Cavill lying down, facing forward",1725,7
953,"A full-body photo of Henry Cavill kneeling, facing forward",8667,7
954,"A full-body photo of Henry Cavill squatting, facing forward",8719,7
955,"A full-body photo of Henry Cavill leaning, facing forward",1523,7
956,"A full-body photo of Henry Cavill resting, facing forward",6353,7
957,"A full-body photo of Henry Cavill seated, facing forward",3093,7
958,"A full-body photo of Henry Cavill reclining, facing forward",2494,7
959,"A full-body photo of Henry Cavill posed upright, facing forward",6519,7
960,"A full-body photo of Henry Cavill crouching, facing forward",8722,7
961,"A full-body photo of Henry Cavill standing still, facing forward",8804,7
962,"A full-body photo of Henry Cavill sitting cross-legged, facing forward",4807,7
963,"A full-body photo of Henry Cavill lying flat, facing forward",6683,7
964,"A full-body photo of Henry Cavill half-seated, facing forward",6694,7
965,"A full-body photo of Henry Cavill in a relaxed posture, facing forward",3745,7
966,"A full-body photo of Henry Cavill in upright posture, facing forward",8112,7
967,"A full-body photo of Henry Cavill in resting position, facing forward",8018,7
968,"A full-body photo of Henry Cavill in crouched position, facing forward",7365,7
969,"A full-body photo of Henry Cavill sitting upright, facing forward",4441,7
970,"A full-body photo of Henry Cavill standing, facing forward",3916,7
971,"A full-body photo of Henry Cavill sitting, facing forward",6228,7
972,"A full-body photo of Henry Cavill lying down, facing forward",1559,7
973,"A full-body photo of Henry Cavill kneeling, facing forward",3328,7
974,"A full-body photo of Henry Cavill squatting, facing forward",3833,7
975,"A full-body photo of Henry Cavill leaning, facing forward",6996,7
976,"A full-body photo of Henry Cavill resting, facing forward",6182,7
977,"A full-body photo of Henry Cavill seated, facing forward",5519,7
978,"A full-body photo of Henry Cavill reclining, facing forward",8453,7
979,"A full-body photo of Henry Cavill posed upright, facing forward",8094,7
980,"A full-body photo of Henry Cavill crouching, facing forward",3379,7
981,"A full-body photo of Henry Cavill standing still, facing forward",8548,7
982,"A full-body photo of Henry Cavill sitting cross-legged, facing forward",1034,7
983,"A full-body photo of Henry Cavill lying flat, facing forward",2192,7
984,"A full-body photo of Henry Cavill half-seated, facing forward",4301,7
985,"A full-body photo of Henry Cavill in a relaxed posture, facing forward",7604,7
986,"A full-body photo of Henry Cavill in upright posture, facing forward",1290,7
987,"A full-body photo of Henry Cavill in resting position, facing forward",8464,7
988,"A full-body photo of Henry Cavill in crouched position, facing forward",2462,7
989,"A full-body photo of Henry Cavill sitting upright, facing forward",2187,7
990,"A full-body photo of Henry Cavill standing, facing forward",2278,7
991,"A full-body photo of Henry Cavill sitting, facing forward",5511,7
992,"A full-body photo of Henry Cavill lying down, facing forward",2829,7
993,"A full-body photo of Henry Cavill kneeling, facing forward",8616,7
994,"A full-body photo of Henry Cavill squatting, facing forward",8300,7
995,"A full-body photo of Henry Cavill in upright posture, facing forward",8098,7
996,"A full-body photo of Henry Cavill in resting position, facing forward",4857,7
997,"A full-body photo of Henry Cavill in crouched position, facing forward",4439,7
998,"A full-body photo of Henry Cavill sitting upright, facing forward",4019,7
999,"A full-body photo of Henry Cavill standing, facing forward",1208,7
